,cluster_name,cluster_size,pattern,sequence,mean_similarity,std_similarity
36,41,21436,Payload execution error: returned non-zero,"['Payload', 'execution', 'error', ':', 'returned', 'non-zero']",1.0,0.0
35,40,10838,JOB id=adc-job-ac-cc*-k*s-*-custom-sched-* not found,"['JOB', 'id=adc-job-ac-cc*-k*s-*-custom-sched-*', 'not', 'found']",1.0,0.0
1,1,9293,"Condor HoldReason: CREAM error: BLAH error: submission command failed (exit code = *) (stdout :) (: stderr: : qsub: Maximum number of jobs already in queue MSG=total number of jobs in queue exceeds the queue limit: user atlasp @, @ lapp-ce*.in*p*.fr queue, queue atlasMC*-","['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'BLAH', 'error', ':', 'submission', 'command', 'failed', '(', 'exit', 'code', '=', '*', ')', '(', 'stdout', ':', ')', '(', ':', 'stderr', ':', ':', 'qsub', ':', 'Maximum', 'number', 'of', 'jobs', 'already', 'in', 'queue', 'MSG=total', 'number', 'of', 'jobs', 'in', 'queue', 'exceeds', 'the', 'queue', 'limit', ':', 'user', 'atlasp', '@', ',', '@', 'lapp-ce*.in*p*.fr', 'queue', ',', 'queue', 'atlasMC*-']",0.99,0.05
5,13,7880,LRMS error: (-*) Job) Job missing SLURM missing from from SLURM SLURM,"['LRMS', 'error', ':', '(', '-*', ')', 'Job', ')', 'Job', 'missing', 'SLURM', 'missing', 'from', 'from', 'SLURM', 'SLURM']",0.63,0.16
33,39,7771,submission failed: Exception OSError: [Errno *] No space left on device,"['submission', 'failed', ':', 'Exception', 'OSError', ':', '[', 'Errno', '*', ']', 'No', 'space', 'left', 'on', 'device']",1.0,0.0
37,5,3935,Condor HoldReason: Unspecified error; gridmanager; Worker Worker error canceled; canceled by by Worker harvester canceled harvester due due to by to held harvester too held due to too long held or long too or not long found not found or not found,"['Condor', 'HoldReason', ':', 'Unspecified', 'error', ';', 'gridmanager', ';', 'Worker', 'Worker', 'error', 'canceled', ';', 'canceled', 'by', 'by', 'Worker', 'harvester', 'canceled', 'harvester', 'due', 'due', 'to', 'by', 'to', 'held', 'harvester', 'too', 'held', 'due', 'to', 'too', 'long', 'held', 'or', 'long', 'too', 'or', 'not', 'long', 'found', 'not', 'found', 'or', 'not', 'found']",0.87,0.12
28,34,3048,"Condor HoldReason: HTCondor-CE held job due to no matching routes, route job limit, or route failure threshold; see 'HTCondor-CE * Guide'; Worker canceled by harvester due to held too long or not found","['Condor', 'HoldReason', ':', 'HTCondor-CE', 'held', 'job', 'due', 'to', 'no', 'matching', 'routes', ',', 'route', 'job', 'limit', ',', 'or', 'route', 'failure', 'threshold', ';', 'see', ""'HTCondor-CE"", '*', 'Guide', ""'"", ';', 'Worker', 'canceled', 'by', 'harvester', 'due', 'to', 'held', 'too', 'long', 'or', 'not', 'found']",0.99,0.03
40,8,2204,Condor HoldReason: CREAM error: Transfer failed: globus_ftp_client: the server responded with an error *: *-Command failed.: : failed. globus_l_gfs_file_open failed. *-globus_xio: Unable to open file *_sandbox*_Robot__ATLAS_Pilot*_CN_*,"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'Transfer', 'failed', ':', 'globus_ftp_client', ':', 'the', 'server', 'responded', 'with', 'an', 'error', '*', ':', '*-Command', 'failed.', ':', ':', 'failed.', 'globus_l_gfs_file_open', 'failed.', '*-globus_xio', ':', 'Unable', 'to', 'open', 'file', '*_sandbox*_Robot__ATLAS_Pilot*_CN_*']",0.99,0.04
38,6,2116,Failed in data staging: Failed source to * prepare Failed Failed to * source: Failed to * to: Failed prepare to prepare: source: Resource temporarily unavailable: File requests,"['Failed', 'in', 'data', 'staging', ':', 'Failed', 'source', 'to', '*', 'prepare', 'Failed', 'Failed', 'to', '*', 'source', ':', 'Failed', 'to', '*', 'to', ':', 'Failed', 'prepare', 'to', 'prepare', ':', 'source', ':', 'Resource', 'temporarily', 'unavailable', ':', 'File', 'requests']",0.9,0.15
32,38,1981,* not submitted due to incomplete data of the worker,"['*', 'not', 'submitted', 'due', 'to', 'incomplete', 'data', 'of', 'the', 'worker']",1.0,0.0
31,37,1124,Condor HoldReason: The system macro SYSTEM_PERIODIC_HOLD expression' (* =? = undefined) || (* =? = undefined) || (( time ()> *) & & JobStatus =! = * & & JobStatus =! = *) || (RoutedBy =? = null & & JobU,"['Condor', 'HoldReason', ':', 'The', 'system', 'macro', 'SYSTEM_PERIODIC_HOLD', 'expression', ""'"", '(', '*', '=', '?', '=', 'undefined', ')', '||', '(', '*', '=', '?', '=', 'undefined', ')', '||', '(', '(', 'time', '(', ')', '>', '*', ')', '&', '&', 'JobStatus', '=', '!', '=', '*', '&', '&', 'JobStatus', '=', '!', '=', '*', ')', '||', '(', 'RoutedBy', '=', '?', '=', 'null', '&', '&', 'JobU']",1.0,0.0
34,4,904,Condor HoldReason: Error CREAM_Delegate: Error to: Received Received: NULL to: NULL fault FaultString= fault FaultString=; [the [-; FaultCode= error - the [error is FaultCode= due is [due to to another cause another cause: : FaultString= FaultString= [- [The - FaultCode= [service FaultCode= can [not be found for the endpoint reference (EPR) * - FaultCode= [,"['Condor', 'HoldReason', ':', 'Error', 'CREAM_Delegate', ':', 'Error', 'to', ':', 'Received', 'Received', ':', 'NULL', 'to', ':', 'NULL', 'fault', 'FaultString=', 'fault', 'FaultString=', ';', '[', 'the', '[', '-', ';', 'FaultCode=', 'error', '-', 'the', '[', 'error', 'is', 'FaultCode=', 'due', 'is', '[', 'due', 'to', 'to', 'another', 'cause', 'another', 'cause', ':', ':', 'FaultString=', 'FaultString=', '[', '-', '[', 'The', '-', 'FaultCode=', '[', 'service', 'FaultCode=', 'can', '[', 'not', 'be', 'found', 'for', 'the', 'endpoint', 'reference', '(', 'EPR', ')', '*', '-', 'FaultCode=', '[']",0.58,0.25
15,22,479,Condor HoldReason: CREAM error: Cannot move ISB (retry_copy ${globus_transfer_cmd} gsiftp*,"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'Can', 'not', 'move', 'ISB', '(', 'retry_copy', '$', '{', 'globus_transfer_cmd', '}', 'gsiftp*']",1.0,0.04
22,29,458,Condor HoldReason: The system macro SYSTEM_PERIODIC_HOLD expression' (*> = * & & JobStatus == * )' evaluated to TRUE; Worker canceled by harvester due to held too long or not found,"['Condor', 'HoldReason', ':', 'The', 'system', 'macro', 'SYSTEM_PERIODIC_HOLD', 'expression', ""'"", '(', '*', '>', '=', '*', '&', '&', 'JobStatus', '==', '*', ')', ""'"", 'evaluated', 'to', 'TRUE', ';', 'Worker', 'canceled', 'by', 'harvester', 'due', 'to', 'held', 'too', 'long', 'or', 'not', 'found']",0.99,0.03
41,9,450,Condor HoldReason: CREAM error: Error CREAM_Job_Register: Error: MethodName= MethodName= [[] ErrorCode=] jobRegister [ErrorCode=] * ErrorCode= [*] [Description= *] ] [Description= Description= the [] the [FaultCause= The] CREAM FaultCause= [* service [can] *] not accept jobs at the moment] FaultCause= [Threshold: * for: FTP Connection]: * => Detected value for FTP Connection: *\n\n] Tim,"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'Error', 'CREAM_Job_Register', ':', 'Error', ':', 'MethodName=', 'MethodName=', '[', '[', ']', 'ErrorCode=', ']', 'jobRegister', '[', 'ErrorCode=', ']', '*', 'ErrorCode=', '[', '*', ']', '[', 'Description=', '*', ']', ']', '[', 'Description=', 'Description=', 'the', '[', ']', 'the', '[', 'FaultCause=', 'The', ']', 'CREAM', 'FaultCause=', '[', '*', 'service', '[', 'can', ']', '*', ']', 'not', 'accept', 'jobs', 'at', 'the', 'moment', ']', 'FaultCause=', '[', 'Threshold', ':', '*', 'for', ':', 'FTP', 'Connection', ']', ':', '*', '=', '>', 'Detected', 'value', 'for', 'FTP', 'Connection', ':', '*\\n\\n', ']', 'Tim']",0.77,0.13
26,32,173,LRMS error: (-*) *: Job removed by SYSTEM_PERIODIC_REMOVE due to job . running more than once.,"['LRMS', 'error', ':', '(', '-*', ')', '*', ':', 'Job', 'removed', 'by', 'SYSTEM_PERIODIC_REMOVE', 'due', 'to', 'job', '.', 'running', 'more', 'than', 'once', '.']",0.82,0.1
7,15,142,Condor HoldReason: Error sending files files schedd: to DCSchedd schedd: gk*.atlas-swt*.org :* DCSchedd: DCSchedd: * :*: :*: *: File *: transfer: File failed for transfer File failed transfer target for job failed *.* target for job target: job *.* to *.*: from Failed: to Failed to receive receive GoAhead message GoAhead message from *.*.*.*. from *.*.*.*.; Worker; Worker canceled by canceled harvester by harvester due to due held to too held too long long or,"['Condor', 'HoldReason', ':', 'Error', 'sending', 'files', 'files', 'schedd', ':', 'to', 'DCSchedd', 'schedd', ':', 'gk*.atlas-swt*.org', ':*', 'DCSchedd', ':', 'DCSchedd', ':', '*', ':*', ':', ':*', ':', '*', ':', 'File', '*', ':', 'transfer', ':', 'File', 'failed', 'for', 'transfer', 'File', 'failed', 'transfer', 'target', 'for', 'job', 'failed', '*.*', 'target', 'for', 'job', 'target', ':', 'job', '*.*', 'to', '*.*', ':', 'from', 'Failed', ':', 'to', 'Failed', 'to', 'receive', 'receive', 'GoAhead', 'message', 'GoAhead', 'message', 'from', '*.*.*.*.', 'from', '*.*.*.*.', ';', 'Worker', ';', 'Worker', 'canceled', 'by', 'canceled', 'harvester', 'by', 'harvester', 'due', 'to', 'due', 'held', 'to', 'too', 'held', 'too', 'long', 'long', 'or']",0.55,0.1
39,7,141,Condor HoldReason: CREAM globus_xio error: : Unable Transfer to failed connect to: : globus_xio *: Unable Unable globus_xio to connect to: System to connect to: error: in * ce*-lcg.cr.cnaf.infn.it *: connect: * globus_xio System Connection: globus_xio error System timed: in out error connect System globus_xio error: in in connect: Connection A connect: globus_xio: system Connection timed: Connection call out A timed failed out system globus_xio: globus_xio Connection call: failed A timed: out system A: call; system Worker failed call: canceled failed: Connection by timed Connection harvester timed out out; ; Worker canceled Worker canceled by harvester by harvester,"['Condor', 'HoldReason', ':', 'CREAM', 'globus_xio', 'error', ':', ':', 'Unable', 'Transfer', 'to', 'failed', 'connect', 'to', ':', ':', 'globus_xio', '*', ':', 'Unable', 'Unable', 'globus_xio', 'to', 'connect', 'to', ':', 'System', 'to', 'connect', 'to', ':', 'error', ':', 'in', '*', 'ce*-lcg.cr.cnaf.infn.it', '*', ':', 'connect', ':', '*', 'globus_xio', 'System', 'Connection', ':', 'globus_xio', 'error', 'System', 'timed', ':', 'in', 'out', 'error', 'connect', 'System', 'globus_xio', 'error', ':', 'in', 'in', 'connect', ':', 'Connection', 'A', 'connect', ':', 'globus_xio', ':', 'system', 'Connection', 'timed', ':', 'Connection', 'call', 'out', 'A', 'timed', 'failed', 'out', 'system', 'globus_xio', ':', 'globus_xio', 'Connection', 'call', ':', 'failed', 'A', 'timed', ':', 'out', 'system', 'A', ':', 'call', ';', 'system', 'Worker', 'failed', 'call', ':', 'canceled', 'failed', ':', 'Connection', 'by', 'timed', 'Connection', 'harvester', 'timed', 'out', 'out', ';', ';', 'Worker', 'canceled', 'Worker', 'canceled', 'by', 'harvester', 'by', 'harvester']",0.95,0.1
30,36,120,Condor HoldReason: CREAM error: BLAH error: submission command failed (exit code = *) (stdout :) (stderr: qsub: Bad UID for job execution MSG=could not authorize user atlasp from lapp-ce*.in*p*.fr-) N* (jobId = *); Worker canceled by harvest,"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'BLAH', 'error', ':', 'submission', 'command', 'failed', '(', 'exit', 'code', '=', '*', ')', '(', 'stdout', ':', ')', '(', 'stderr', ':', 'qsub', ':', 'Bad', 'UID', 'for', 'job', 'execution', 'MSG=could', 'not', 'authorize', 'user', 'atlasp', 'from', 'lapp-ce*.in*p*.fr-', ')', 'N*', '(', 'jobId', '=', '*', ')', ';', 'Worker', 'canceled', 'by', 'harvest']",1.0,0.0
29,35,111,"Failed to create a JOB; * (host='*.*.*.*', port=*): Max retries exceeded with url: *** (Caused by * (' <urllib*.connection.* object at *>: Failed to establish a new connection: [Errno *] Connection refused' ,) )","['Failed', 'to', 'create', 'a', 'JOB', ';', '*', '(', ""host='*.*.*.*"", ""'"", ',', 'port=*', ')', ':', 'Max', 'retries', 'exceeded', 'with', 'url', ':', '***', '(', 'Caused', 'by', '*', '(', ""'"", '<', 'urllib*.connection.*', 'object', 'at', '*', '>', ':', 'Failed', 'to', 'establish', 'a', 'new', 'connection', ':', '[', 'Errno', '*', ']', 'Connection', 'refused', ""'"", ',', ')', ')']",1.0,0.0
0,0,79,* tmpmtRTCa+ long * long usatlas * *: usatlas COMPLETED * COMPLETED: *: *: * *,"['*', 'tmpmtRTCa+', 'long', '*', 'long', 'usatlas', '*', '*', ':', 'usatlas', 'COMPLETED', '*', 'COMPLETED', ':', '*', ':', '*', ':', '*', '*']",0.77,0.16
16,23,78,Condor HoldReason: Unspecified error gridmanager error,"['Condor', 'HoldReason', ':', 'Unspecified', 'error', 'gridmanager', 'error']",0.89,0.18
12,2,71,Failed in data staging: Could not resolve any source replicas for rucio*,"['Failed', 'in', 'data', 'staging', ':', 'Could', 'not', 'resolve', 'any', 'source', 'replicas', 'for', 'rucio*']",0.67,0.13
27,33,55,Error reading user generated output file list,"['Error', 'reading', 'user', 'generated', 'output', 'file', 'list']",1.0,0.0
21,28,27,submission failed :,"['submission', 'failed', ':']",0.8,0.25
25,31,26,Condor HoldReason: Error locating schedd htc*.ppgrid*.rhul.ac.uk,"['Condor', 'HoldReason', ':', 'Error', 'locating', 'schedd', 'htc*.ppgrid*.rhul.ac.uk']",1.0,0.0
2,10,17,Condor HoldReason: CREAM error: Job has been terminated (got) SIGTERM ),"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'Job', 'has', 'been', 'terminated', '(', 'got', ')', 'SIGTERM', ')']",0.93,0.09
24,30,17,LRMS error: (-*) Job missing from SLURM|Failed in data staging: Failed to prepare destination *,"['LRMS', 'error', ':', '(', '-*', ')', 'Job', 'missing', 'from', 'SLURM|Failed', 'in', 'data', 'staging', ':', 'Failed', 'to', 'prepare', 'destination', '*']",1.0,0.0
9,17,15,Condor HoldReason: CREAM error: CREAM_Job_Register Error: MethodName= [jobRegister] Timestamp= [Mon * * Dec Dec * *: * *: *: : *] *] ErrorCode= [ErrorCode= * [*] ] Description= [Description= system [error system] error] FaultCause= [FaultCause= [database database error occurred error occurred] ];; Worker canceled Worker by canceled harvester by harvester due due to to held held too too long long or no or no,"['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'CREAM_Job_Register', 'Error', ':', 'MethodName=', '[', 'jobRegister', ']', 'Timestamp=', '[', 'Mon', '*', '*', 'Dec', 'Dec', '*', '*', ':', '*', '*', ':', '*', ':', ':', '*', ']', '*', ']', 'ErrorCode=', '[', 'ErrorCode=', '*', '[', '*', ']', ']', 'Description=', '[', 'Description=', 'system', '[', 'error', 'system', ']', 'error', ']', 'FaultCause=', '[', 'FaultCause=', '[', 'database', 'database', 'error', 'occurred', 'error', 'occurred', ']', ']', ';', ';', 'Worker', 'canceled', 'Worker', 'by', 'canceled', 'harvester', 'by', 'harvester', 'due', 'due', 'to', 'to', 'held', 'held', 'too', 'too', 'long', 'long', 'or', 'no', 'or', 'no']",1.0,0.0
11,19,15,* regular tmpXr*mn*+ regular m* m* * * PENDING * PENDING: *: * *,"['*', 'regular', 'tmpXr*mn*+', 'regular', 'm*', 'm*', '*', '*', 'PENDING', '*', 'PENDING', ':', '*', ':', '*', '*']",0.9,0.03
20,27,10,condor job *=LOCAL batchID=*.* not found. Skipped,"['condor', 'job', '*=LOCAL', 'batchID=*.*', 'not', 'found.', 'Skipped']",1.0,0.0
13,20,9,LRMS error: (-*) *: The system macro SYSTEM_PERIODIC_REMOVE expression' (*> * * * * *) || (* + *> * * * * *) || (( JobStatus == * & & (CurrentTime - *) > * * *) ) ||,"['LRMS', 'error', ':', '(', '-*', ')', '*', ':', 'The', 'system', 'macro', 'SYSTEM_PERIODIC_REMOVE', 'expression', ""'"", '(', '*', '>', '*', '*', '*', '*', '*', ')', '||', '(', '*', '+', '*', '>', '*', '*', '*', '*', '*', ')', '||', '(', '(', 'JobStatus', '==', '*', '&', '&', '(', 'CurrentTime', '-', '*', ')', '>', '*', '*', '*', ')', ')', '||']",1.0,0.01
19,26,8,"Failed to create a JOB; ('Connection aborted.', * (*, 'Connection reset by peer') )","['Failed', 'to', 'create', 'a', 'JOB', ';', '(', ""'Connection"", 'aborted.', ""'"", ',', '*', '(', '*', ',', ""'Connection"", 'reset', 'by', 'peer', ""'"", ')', ')']",1.0,0.0
18,25,7,Condor HoldReason: Job removed from batch queue manually,"['Condor', 'HoldReason', ':', 'Job', 'removed', 'from', 'batch', 'queue', 'manually']",1.0,0.0
17,24,6,Unknown error,"['Unknown', 'error']",1.0,0.0
8,16,4,Condor HoldReason: globus_xio error :; Condor System error * in: Python-initiated recv: action. (Connection by reset by user peer atlpan globus_xio): A system call failed: Connection reset by peer; Condor *: Python-initiated action. (by user atlpan ),"['Condor', 'HoldReason', ':', 'globus_xio', 'error', ':', ';', 'Condor', 'System', 'error', '*', 'in', ':', 'Python-initiated', 'recv', ':', 'action.', '(', 'Connection', 'by', 'reset', 'by', 'user', 'peer', 'atlpan', 'globus_xio', ')', ':', 'A', 'system', 'call', 'failed', ':', 'Connection', 'reset', 'by', 'peer', ';', 'Condor', '*', ':', 'Python-initiated', 'action.', '(', 'by', 'user', 'atlpan', ')']",0.67,0.19
23,3,4,Failed in data staging: Failed to writing destination to * destination: *: Can't write to destination: File exists: Failed to create file *-cache*****,"['Failed', 'in', 'data', 'staging', ':', 'Failed', 'to', 'writing', 'destination', 'to', '*', 'destination', ':', '*', ':', 'Ca', ""n't"", 'write', 'to', 'destination', ':', 'File', 'exists', ':', 'Failed', 'to', 'create', 'file', '*-cache*****']",0.74,0.24
14,21,2,: **,"[':', '**']",1.0,0.0
10,18,1,Failed during processing failure; Serious troubles (problems during processing problems),"['Failed', 'during', 'processing', 'failure', ';', 'Serious', 'troubles', '(', 'problems', 'during', 'processing', 'problems', ')']",1.0,0.0
6,14,1,"Condor HoldReason: CREAM error: CREAM_Job_Register Error: MethodName=[JobRegister] ErrorCode=[*] Description=[CN=Robot: ATLAS Pilot*,CN=*,CN=atlpilo*,OU=Users,OU=Organic Units,DC=cern,DC=ch not authorized for {http*}J","['Condor', 'HoldReason', ':', 'CREAM', 'error', ':', 'CREAM_Job_Register', 'Error', ':', 'MethodName=', '[', 'JobRegister', ']', 'ErrorCode=', '[', '*', ']', 'Description=', '[', 'CN=Robot', ':', 'ATLAS', 'Pilot*', ',', 'CN=*', ',', 'CN=atlpilo*', ',', 'OU=Users', ',', 'OU=Organic', 'Units', ',', 'DC=cern', ',', 'DC=ch', 'not', 'authorized', 'for', '{', 'http*', '}', 'J']",1.0,0.0
4,12,1,Failed in data staging: Transfer timed out,"['Failed', 'in', 'data', 'staging', ':', 'Transfer', 'timed', 'out']",1.0,0.0
3,11,1,Failed in data staging: Failed reading from source: gsiftp* : Can't read from source: globus_ftp_client: the server re,"['Failed', 'in', 'data', 'staging', ':', 'Failed', 'reading', 'from', 'source', ':', 'gsiftp*', ':', 'Ca', ""n't"", 'read', 'from', 'source', ':', 'globus_ftp_client', ':', 'the', 'server', 're']",1.0,0.0
